问题编号,反馈日期,角色,功能模块,问题描述,反馈人,状态分类,状态说明
#01,2025/12/19,客户,Live聊天,附件图片无法上传,Edward,暂时删除,Live Chat人工功能已移除
#02,2025/12/19,技术支持,聊天界面,员工发送信息对话框在左侧,Archer,暂时删除,Live Chat人工功能已移除
#03,2025/12/19,技术支持,对话,客户转人工对话但技术无法回复,Cody,暂时删除,Live Chat人工转接功能已移除
#04,2025/12/19,技术支持,对话,需要添加允许建立快捷话术的功能,Archer,暂时删除,Live Chat人工功能已移除
#05,2025/12/19,客户,Live聊天,退出Live聊天后重新进入会出现消息互串问题,Edward,暂时删除,Live Chat功能已简化
#06,2025/12/19,客户,Live聊天,切换人工再切换AI然后切换人工后无法进入人工对话,Jason,暂时删除,Live Chat人工转接功能已移除
#07,2025/12/19,技术支持,Live聊天,不小心点了close后无法恢复聊天重启对话后聊天记录丢失,Dover,暂时删除,Live Chat人工功能已移除
#08,2025/12/19,技术支持,Live,客户发来对话技术支持点击认领对话,Cody,暂时删除,Live Chat人工认领功能已移除
#09,2025/12/19,客户,Live Chat,消息对话框的提示红点需要仅在有新消息时显示,Luca,暂时删除,Live Chat功能已简化
#10,2025/12/19,客户,Live聊天,发送的文件无法下载,Kevin,暂时删除,Live Chat文件功能已移除
#11,2025/12/19,技术支持,工单,非洲区提交工单技术支持无法显示对话框回复用户,Cody,待测试,区域分配逻辑已更新(2025-12-23)
#12,2025/12/19,技术支持,客户,点击查看工单历史时查看到其他区域或者客户提交的工单,Cody,待测试,区域权限过滤逻辑已更新
#13,2025/12/19,技术支持,工单,support邮箱接收工单未分配技术人员美国技术支持可以直接预览但是无法回复操作,Cody,待测试,区域分配和回复权限已更新
#14,2025/12/19,技术支持,工单,客户发送support邮箱admin分配给美国客户技术支持技术支持无法在线回复,Cody,待测试,区域分配后的回复权限已更新
#15,2025/12/19,技术支持,工单,点击选择未关闭工单跳转页面返回后未记录操作返回初始所有工单,Cody,待修复-Bug,工单列表状态保持问题
#16,2025/12/19,客户,工单,客户上传的工单信息所属的角色为Staff,Edward,待修复-Bug,工单创建者角色显示错误
#17,2025/12/19,客户,工单,客户提交工单上传的附件无法送到技术支持界面,Luca,待修复-Bug,工单附件传递问题
#18,2025/12/19,客户,工单,工单状态未显示右上角待关闭状态需要显示,Cody,待修复-Bug,工单状态显示缺失
#19,2025/12/19,技术支持,Setting,Profile information的language选项无效,Dover,待修复-Bug,语言设置功能无效
#20,2025/12/19,Admin,SYSTEM SETTING,SYSTEM CONFIG点击无效,SHAMY,待修复-Bug,系统配置页面无法访问
#21,2025/12/19,客户,Live聊天,对于机型需要有个模糊匹配(AT5属于MDT答案属于MDVR的),Kevin,待改进-AI,AI知识库匹配精度问题
#22,2025/12/19,技术支持,,对于工单对话增加AI概要的功能总结内容解决状态,Archer,功能建议,AI摘要功能
#23,2025/12/19,客户,工单,需要添加好评和差评以及好评原因或差评理由,Jason,功能建议,工单评价系统
#24,2025/12/19,客户,工单,需要添加客户重新激活工单的开关,Jason,功能建议,工单重开功能
#25,2025/12/19,技术支持,工单,增加回复模板(邮箱发送到support邮箱admin分配给区域技术支持在首次与客户对接时发送模板确认基础信息),Cody,功能建议,回复模板功能
#26,2025/12/19,客户,工单,可以参考禅道让客户提交问题时引导客户填写设备安装环境设备安装日期出现问题日期出现问题数量,Jason,功能建议,工单提交引导表单
