反馈日期,角色,功能模块,问题描述,图片,反馈人,
2025/12/19,客户,Live聊天,附件图片无法上传, ,Edward,
2025/12/19,技术支持,聊天界面,员工发送信息对话框在左侧, ,Archer,
2025/12/19,技术支持,工单,点击选择未关闭工单，跳转页面返回后未记录操作，返回初始所有工单, ,Cody,
2025/12/19,客户,工单,客户上传的工单信息所属的角色为Staff, ,Edward,
2025/12/19,技术支持,对话,客户转人工对话，但是技术无法回复；, ,Cody,
2025/12/19,技术支持,对话,需要添加允许建立快捷话术的功能,,Archer,
2025/12/19,客户,Live聊天,退出Live聊天后，重新进入Live聊天后会出现消息互串问题, ,Edward,
2025/12/19,客户,Live聊天,切换人工，再切换AI，然后切换人工后，无法进入人工对话；, ,Jason, 
2025/12/19,技术支持,工单,非洲区提交工单，技术支持无法显示对话框，回复用户, ,Cody,
2025/12/19,技术支持,客户,点击查看工单历史时，查看到其他区域或者客户提交的工单, ,Cody,
2025/12/19,技术支持,,对于工单、对话增加AI概要的功能，总结内容，解决状态。,,Archer,
2025/12/19,客户,Live聊天,对于机型，需要有个模糊匹配。AT5属于MDT，答案属于MDVR的, ,Kevin,
2025/12/19,客户,工单,需要添加好评和差评，以及好评原因或差评理由。,,Jason,
2025/12/19,客户,工单,需要添加客户重新激活工单的开关。,,Jason,
2025/12/19,技术支持,工单,增加回复模板；应用场景，邮箱发送到support邮箱，admin分配给区域，技术支持在首次与客户对接时，发送模板，确认基础信息；节省确认基础信息的过程,,Cody,
2025/12/19,客户,工单,可以参考禅道，让客户提交问题时，引导客户填写设备安装环境、设备安装日期，出现问题日期，出现问题数量；, ,Jason,
2025/12/19,技术支持,客户管理,客户管理界面点击查看工单目前会直接跳转到工单界面，希望用小窗展示历史工单记录，需要具体查看某条工单详细内容再点击跳转，否则关闭小窗还是停留在当前界面。, ,Archer,
2025/12/19,客户,工单,客户提交工单上传的附件，无法送到技术支持界面。, ,Luca,
2025/12/19,技术支持,Live聊天,不小心点了close后无法恢复聊天了，重启对话后聊天记录丢失。, ,Dover,
2025/12/19,客户,工单,工单状态未显示，右上角待关闭状态需要显示, ,Cody,
2025/12/19,技术支持,Live,客户发来对话，技术支持点击认领对话, ,Cody,
2025/12/19,技术支持,Setting,Profile information的language选项无效, ,Dover,
2025/12/19,客户,Live Chat,消息对话框的提示红点，需要仅在有新消息时显示，无新消息不显示, ,Luca,
2025/12/19,技术支持,Dover,无法改头像，希望1.0能完善此功能, ,Dover,
2025/12/19,技术支持,工单,支持工单按优先级排序/筛选,,Jason,
2025/12/19,客户,Live聊天,发送的文件无法下载, ,Kevin,
2025/12/19,技术支持,工单,support邮箱接收工单，未分配技术人员，美国技术支持可以直接预览，但是无法回复操作, ,Cody,
2025/12/19,技术支持,工单,增加时效管理，超过规定时间还没处理完，需要邮件/工单页面弹窗定时提醒技术支持。,,Jason,
2025/12/19,技术支持,工单,邮件自动恢复，签名需要修改，需要修改Tickcet系统URL，增加各区域技术的联系方式Whatsapp,,Cody,
2025/12/19,客户,工单,客户收到的自动回复邮件模版需要修改，工单入口，签名要修改, ,SHAMY,
2025/12/19,客户,工单,未注册用户发了邮件到SUPPORT，收到邮件，找到TICKET SYSTEM，申请注册，由ADMIN 审核是否通过账户申请,,SHAMY,
2025/12/19,客户,工单,工单处理进度变更时，自动发送邮件提醒客户；,,Jason,
2025/12/19,技术支持,工单,客户发送support邮箱，admin分配给美国客户技术支持，技术支持无法在线回复；需要支持在线回复邮件；, ,Cody,
2025/12/19,Admin,工单,admin 账号下需要可以下载全部的TICKET， 各个STAFF 账号下可以下载各自的TICKET , ,SHAMY,
2025/12/19,Admin,工单,1，TICKET，状态等基本信息放右边，尽量占地小，把中间留给客户和员工的对话，且上面有AI SUMMARY，根据对话内容定期更新, ,SHAMY,
